date,query,target_page,served_page,impressions,clicks,position
2026-09-10,field of view calculator,/tools/field-of-view.html,https://shuttermath.com/tools/field-of-view.html,44,0,87.55
2026-09-10,field of view chart,/tools/field-of-view.html,,0,0,
2026-09-10,angle of view calculator,/tools/field-of-view.html,https://shuttermath.com/tools/field-of-view.html,10,0,89.5
2026-09-10,nd filter chart,/pages/nd-filter-long-exposure-chart.html,https://shuttermath.com/tools/nd-filter.html,46,0,67.33
2026-09-10,nd filter table,/pages/nd-filter-long-exposure-chart.html,,0,0,
2026-09-10,nd filter calculator,/tools/nd-filter.html,https://shuttermath.com/tools/nd-filter.html,13,0,59.69
2026-09-10,depth of field calculator,/tools/depth-of-field.html,https://shuttermath.com/tools/depth-of-field.html,26,0,79.96
2026-09-10,dof calculator,/tools/depth-of-field.html,https://shuttermath.com/tools/depth-of-field.html,23,0,78.78
2026-09-10,camera sensor size chart,/pages/camera-sensor-sizes.html,https://shuttermath.com/pages/camera-sensor-sizes.html,11,0,47.91
2026-09-10,camera sensor sizes,/pages/camera-sensor-sizes.html,https://shuttermath.com/pages/camera-sensor-sizes.html,9,0,32.44
2026-09-10,exposure value calculator,/tools/exposure.html,https://shuttermath.com/tools/exposure.html,21,0,55.81
2026-09-10,print resolution,/tools/print-resolution.html,https://shuttermath.com/tools/print-resolution.html,12,0,81.83
2026-09-10,guide number,/tools/flash-guide-number.html,https://shuttermath.com/tools/flash-guide-number.html,27,0,76.85
2026-09-10,shutter angle calculator,/tools/shutter-angle.html,https://shuttermath.com/tools/shutter-angle.html,8,0,53.62
